source,target
alcohol abuse is a major burden on society and even more of a problem in the veteran population  EOS chronic alcohol ingestion can have serious health consequences including pneumonia and acute lung injury which can occur suddenly and without warning even in physically fit individuals without apparent signs of alcohol dependence  EOS therefore it is vital for the health of our veterans and indeed the entire population to identify effective treatments that can limit or even prevent these devastating consequences  EOS the primary goal of this clinical research project is to determine if dietary zinc or supplements of the antioxidant s adenosylmethionine same can augment lung immune defenses in otherwise healthy alcoholics and thereby decrease the risk of lung injury and infection  EOS there is already strong evidence from the investigators experimental animal model that moderate daily alcohol ingestion for as little as six weeks causes oxidative stress and zinc deficiency in the lung  EOS these derangements result insult in dysfunction of the alveolar macrophage which is the resident immune cell and predisposes animals to the development of pneumonia  EOS importantly in this same animal model the investigators found that adding either zinc or antioxidants to the diet prevents these problems and preserves lung health even during daily alcohol ingestion  EOS this project will translate basic findings in the animal model to the clinical setting and determine whether or not zinc or same supplements are effective in humans who pathologically consume alcohol  EOS this project will enroll veterans seen at the atlanta veterans hospital in the substance abuse treatment program satp  EOS participants will be evaluated by undergoing a procedure to obtain samples of fluid from their lungs measure zinc levels redox potential and assess how well their alveolar macrophages respond to bacteria by determining phagocytic capacity  EOS after completion of the initial evaluation the participants will be randomized to receive standard treatment placebo zinc supplements dietary same or the combination of zinc and same for days  EOS all subjects will be evaluated for two weeks as they undergo treatment  EOS at the end of this two week period measurements of lung zinc redox potential and macrophage function will be repeated and compared between the two groups  EOS the hypothesis is that both dietary zinc and sam supplements will improve the immune function of the alveolar macrophage  EOS if this project is successful it will lead to larger clinical trials to determine if either dietary zinc and or same supplements can be effective even in the acute clinical setting and improve outcomes in alcoholics who develop pneumonia or acute lung injury  EOS overall both zinc and same supplements are safe and inexpensive to provide allowing these potential treatments to be easily implemented in the veteran population as well as society in general  EOS given the significant burden of unhealthy alcohol use the investigators need ways to limit the physical consequences of alcohol abuse while the investigators continue the efforts at public education and addiction treatment  EOS,this is a randomized placebo controlled trial of dietary zinc and s adenosylmethionine same in otherwise healthy alcoholic us veterans  EOS the primary goal is to determine if either dietary zinc or s adenosylmethionine same can augment lung immune defenses in alcoholics and thereby decrease the risk of lung injury and infection  EOS
the investigators will recruit outpatients heavy smokers pack years older than years diagnosed with copd  EOS copd is defined by presence of fixed airflow limitation post bronchodilator forced expiratory volume at one second fev forced vital capacity fvc less than according to spirometry classification from global inititiative for obstructive lung disease gold guidelines  EOS each patient will be characterized by medical history physical examination and smoking history  EOS each patient will perform pulmonary function test including reversibility to inhaled bronchodilator mcg albuterol and minute walk test  EOS arterial blood gases and routine blood test including inflammatory biomarkers will also examined  EOS in addition each patient will undergo chest x ray thorax ct scan echocardiography and carotid ultrasonography  EOS at enrollment all patients will be in stable condition no changes in medication dosage or frequency no copd exacerbation or hospital admissions in the previous weeks  EOS clinical and biological follow up will be prospectively followed for years  EOS,cigarette smoking the major risk factor for chronic obstructive pulmonary disease copd causes systemic effects such as systemic cellular and humoral inflammation that could substantially contribute to the development of chronic diseases other than copd mainly cardiovascular diseases and metabolic disorders  EOS such chronic comorbidities affect health outcomes in copd particularly in terms of disease severity and prognosis  EOS the aim of the project is to investigate the prevalence of chronic comorbidities associated with copd and their impact on prognosis in elderly patients  EOS
study scans if you are found to be eligible to take part in this study you will have study mris  EOS these scans will be performed at the center for advanced biomedical imaging cabi in the south campus research building at md anderson  EOS on day you will have standard mris as part of your standard of care  EOS about an hour after these scans you will receive ferumoxytol by vein  EOS right after that you will have your first study mri  EOS the study mri will be performed in the same way that a standard mri is performed  EOS on day about and hours after you receive ferumoxytol you will have a second study mri  EOS additional tests on days and as well as weeks after the first study mri you will have a physical exam  EOS blood about teaspoons will be drawn for routine tests and or to check your iron level  EOS on day you will have a physical exam  EOS if you have not had one in the last month you will have a pet ct scan to check the status of the disease  EOS length of study you will be on study for about weeks  EOS you will be taken off study if you have intolerable side effects or you are unable to have the scans for any reason  EOS this is an investigational study  EOS ferumoxytol is commercially available and fda approved for the treatment of iron deficiency anemia  EOS up to patients will take part in this study  EOS all will be enrolled at md anderson  EOS,the goal of this clinical research study is to learn if ferumoxytol when given at the time of a magnetic resonance imaging mri can help researchers learn more about the spread of certain kinds of cancers  EOS ferumoxytol is designed to deliver iron to treat iron deficiency anemia low red blood cell counts in patients with chronic kidney disease  EOS in this study it will be used as an mri contrast  EOS contrasts are used by doctors in order to see mri images more clearly  EOS
metabolic actions of omega fatty acids on inflammation and adipocyte lipolysis in the metabolic syndrome epidemiological studies identify metabolic syndrome mets as a biomarker of cardiovascular disease cvd risk and recent aha scientific statements recommend intensive lifestyle diet and exercise measures to reduce risk  EOS marine derived omega polyunsaturated fatty acids such as eicosapentanoic acid epa improve many constituents of the metabolic syndrome such as lowering fasting tg and glucose levels inflammation insulin resistance and blood pressure  EOS these improvements may be mediated by increased fat cell storage and metabolism and lipids reducing inflammation and ectopic fat deposition in visceral abdominal tissue muscle and liver that results in excessive pro inflammatory intra abdominal fat iaf insulin resistance and reduced levels of hdl cholesterol hallmark characteristics of the mets  EOS the anti inflammatory actions of epa lower acute phase reactants aprs and proinflammatory mediators are mechanisms for their lipid lowering and insulin sensitizing effects to reduce cvd risk  EOS the systematic investigation of marine derived omega pufas on these inflammatory metabolic and physiological parameters will provide new mechanistic insights for the therapeutic use of a potentially beneficial safe nutraceutical epa in patients with mets  EOS thus it is our hypothesis that supplementation of marine derived omega pufas will reduce constituents of mets as well as systemic and tissue inflammation insulin resistance homa ir adipocyte lipolysis and cytokine release from at to enhance tg storage capacity of subcutaneous at  EOS the reduction in inflammation and increase in insulin sensitivity will remodel adipose tissue to function more efficiently in tg uptake and storage thus reducing circulating ffas and cytokines  EOS we postulate that these metabolic effects may decrease ectopic fat deposition in viscera iaf and muscle an intriguing novel outcome that provides rationale for the month treatment  EOS the specific aims are to conduct a pilot month randomized trial in adults with high tg and at least one other component of the mets to compare the effects of epa vs  EOS placebo on aim metabolic e  EOSg  EOS lipoproteins inflammatory cytokines acute phase reactants glucose tolerance insulin resistance and adipose tissue responses basal and insulin suppression of lipolysis ed lpl activity cytokine release and lipogenesis  EOS aim regional fat distribution quantified anthropometrically as waist and hip circumference visceral and subcutaneous adipose volumes and muscle lipid accumulation by ct scan and body composition total and regional fat mass by dual energy absorptiometry dxa  EOS these outcomes have potentially intriguing therapeutic implications for marine derived omega pufa supplementation as part of a lifestyle program for patients at increased cardiometabolic risk  EOS,the metabolic syndrome raises the risk of heart disease and is currently at epidemic proportions in the u  EOSs  EOS it consists of of the following components central obesity high triglycerides low hdl abnormal blood pressure and impaired fasting glucose levels  EOS previous studies have suggested that omega fish oil may influence some of these components but the mechanisms involved are not well understood  EOS therefore this proposal will investigate how omega fish oils affect inflammation lipids and fat breakdown by comparing it to placebo  EOS favorable outcomes from this study could translate into a new approach to improve heart disease risk in men and women with the metabolic syndrome  EOS
this is a prospective randomized placebo control trial to test the effect of estradiol in the prevention of progression of cerebral aneurysms  EOS to evaluate the effect each subject will be treated with either oral estradiol or placebo for months  EOS subjects will be randomly assigned to of groups as follows double blind treatment group open label regimen a mg estradiol daily for days b placebo for days each group will be given oral progesterone mg for days at the end of days regardless of menstrual pattern  EOS subjects will be asked to keep a menstrual calendar throughout the trial  EOS serum markers will be drawn at baseline and every days with the results blinded until the end of the trial  EOS magnetic resonance angiography mra studies of the brain will be performed at month  EOS,this study aims to determine if hormone replacement therapy given during perimenopause may prevent the progression of saccular cerebral aneurysms  EOS
this is a two year follow up study designed to monitor and obtain long term safety data of the aci pdt in subjects who participated and successfully completed the acu p a studies  EOS subjects must be able to provide voluntary informed consent and must sign and be given a copy of the written informed consent form prior to participating  EOS this continuation study follows subjects still implanted with the aci and includes two visits at month intervals after subjects have been exited at month from the acu p a studies  EOS the first visit is at month following implantation followed by a final month visit  EOS the study parameters being measured at these two visits include specular microscopy slit lamp and fundus examination ocular health corrected and uncorrected visual acuity manifest mid point refraction corneal topography dry eye assessment mesopic and photopic contrast sensitivity adverse events and complications all sites participating in the acu p a studies were invited to participate in the continuation study  EOS,this is a year follow up study to monitor the long term safety of the aci pdt in subjects who are still implanted with the aci and have successfully completed the acu p a studies  EOS
dual antiplatelet therapy consisting of aspirin and a p y receptor antagonist is the cornerstone of treatment for prevention of thrombotic events in patients with acute coronary syndromes acs  EOS ticagrelor is a reversible direct acting p y antagonist which has shown to be superior to clopidogrel in adjunct to aspirin in preventing recurrent ischemic events including cardiovascular mortality  EOS ticagrelor was recently approved for clinical use in acs patients at a dose of mg loading dose and mg twice day maintenance dose  EOS ticagrelor is considered a first line therapy to be administered as soon as possible in acs patients including those presenting with st elevation myocardial infarction stemi undergoing primary percutaneous coronary intervention pci  EOS however there are discordant data on the onset of its antiplatelet effects in this particular setting  EOS in particular the pharmacodynamic effects of ticagrelor at the recommended mg loading dose are delayed in patients with stemi undergoing primary pci  EOS the use of higher loading dose regimens of ticagrelor has therefore been advocated  EOS however if the administration of a higher ticagrelor loading dose may overcome this limitation is still unknown and represents the aim of our study  EOS the proposed investigation will have a prospective randomized parallel design in which stemi patients undergoing primary pci will be randomized to receive three different loading dose of ticagrelor mg mg and mg  EOS pharmacodynamic testing will be performed at several time points to test our study hypothesis that a higher loading dose regiment will achieve more promptly enhanced platelet inhibitory effects  EOS this study will provide insights on the pharmacodynamic effects of higher ticagrelor loading doses and will help clinicians choose the most appropriate treatment to avoid complications related to inadequate platelet inhibition in the early phase of patients with stemi undergoing primary pci  EOS,ticagrelor is a reversible direct acting p y antagonist which has shown to be superior to clopidogrel in adjunct to aspirin in preventing recurrent ischemic events  EOS ticagrelor is considered a first line therapy to be administered as soon as possible in acs patients  EOS however the pharmacodynamic effects of ticagrelor at the recommended mg loading dose are delayed in patients with stemi undergoing primary pci  EOS the use of higher loading dose regimens of ticagrelor has therefore been advocated  EOS the proposed investigation will have a prospective randomized parallel design in which stemi patients undergoing primary pci will be randomized to receive three different loading dose of ticagrelor mg mg and mg  EOS pharmacodynamic testing will be performed at several time points to test our study hypothesis that a higher loading dose regiment will achieve more promptly enhanced platelet inhibitory effects  EOS
purpose situkulwane lesiphephile safe generations is an implementation science research study designed to evaluate an innovative pmtct strategy that includes a modified option b approach where all hiv positive pregnant women initiate lifelong triple antiretroviral arv therapy independent of cd count option b and all hiv positive pregnant and postpartum women and their infants are engaged in the same structured appointment and follow up protocols currently available only to women receiving antiretroviral therapy art  EOS the study hypothesizes that this single uniform and streamlined treatment and retention approach for all hiv positive pregnant women will eliminate delays prevent losses and will result in a higher proportion of mothers and infants successfully completing the pmtct cascade and fewer new pediatric infections lead to a higher proportion of art eligible women initiating triple art earlier in pregnancy will be more feasible to implement have greater acceptability among staff and patients and will be more cost effective compared to option a  EOS design stepped wedge design at health facilities with one facility transitioning from option a to the option b approach every month over months  EOS outcome measures will be compared under option a and option b conditions for all sites as well as before and after the transition at each site  EOS routinely collected data from facility registers and medical records will be abstracted to determine study outcomes  EOS in addition two purposely selected cohorts of pmtct clients and approximately health care workers will complete questionnaires at repeated time points to assess acceptability of option a and option b approaches  EOS study population all hiv positive pregnant women not on art engaging in pmtct services at the study sites will be part of the pmtct options evaluation  EOS this will include hiv women not on art enrolling in pmtct services and pregnant women newly testing hiv in the absolute neutrophil count anc  EOS a subset of hiv pregnant women not on art engaging in pmtct services and health care workers providing pmtct services at the study sites will be enrolled in an acceptability evaluation  EOS study size a total of approximately hiv positive pregnant women enrolled in pmtct services at ten ministry of health moh facilities  EOS primary objective to compare the impact of implementing option a and option b on the composite endpoint of infant hiv positive polymerase chain reaction pcr at months postpartum or maternal loss to follow up at months postpartum  EOS secondary objectives  EOS to compare option a and option b on proportion of pregnant women with cd cells mm initiating art during pregnancy and on duration of art received prior to delivery for art eligible pregnant women  EOS to compare option a and option b on the proportion of women and children retained in hiv care at and months postpartum  EOS to examine patient and provider level acceptability of option a and option b  EOS to compare the cost effectiveness of option a and option b tertiary objectives  EOS to determine pregnancy and infant outcomes including fetal losses neonatal death birth weight and gestational age among hiv pregnant women receiving pmtct and compare outcomes by maternal arv regimens  EOS  EOS to compare option a and option b on maternal and child adherence as measured by prescriptions dispensed for maternal and infant antiretroviral medications  EOS,the purpose of this study is to understand how best to provide care and treatment services to human immunodeficiency virus hiv positive pregnant women and their babies in swaziland  EOS the study is designed to evaluate a new approach for preventing mother to child transmission pmtct where all hiv positive pregnant women initiate lifelong triple antiretroviral arv therapy regardless of their disease stage  EOS the goal is to prevent delays in women accessing treatment for their own health and ensure that women and their children remain in care  EOS this study will compare this new approach to pmtct known as option b to option a which is the current standard of care for pmtct in swaziland  EOS the study will be conducted at health facilities in the manzini and lubombo regions in swaziland  EOS the study has three components the main component is a pmtct options evaluation where data from medical records will be abstracted on all hiv positive pregnant women attending antenatal services at the selected study facilities data will be abstracted on their hiv exposed infants as well  EOS other components of the study include a pmtct options acceptability evaluation using semi structured questionnaires with pmtct clients and health care workers hcws as well as a cost effectiveness evaluation comparing costs under conditions of option a and option b  EOS
 primary outcome compare clinical efficacy of group treated with cell therapeutic immuncell lc evaluated by progression free survival with that of untreated group secondary outcome compare clinical efficacy of group treated with immuncell lc a drug for treating advanced hepatocellular carcinoma evaluated by overall survival disease control rate changes of alpha feto protein afp figures from baseline to the last observation date and that of untreated group and evaluate adverse reactions clinical pathological tests and its safety  EOS, immuncell lc in aspects of therapeutic efficacy and safety when administered with nexavar to advanced hepatocellular carcinoma patients when compared with the control group who did not receive administration of the drug  EOS
specific aim to describe food insecurity in families of the pediatric allergy population specifically comparing the prevalence of food insecurity rates between households of food allergic patients and households of allergic patients without food allergy  EOS specific aim to examine health literacy in parents of patients in the pediatric allergy population comparing food insecure patients with and without food allergy to food secure patients with food allergy  EOS specific aim to examine quality of life in food allergic patients households using the food allergy impact scale comparing food allergic patients households with food insecurity to food allergic patients households without food insecurity  EOS,our central hypothesis is that dietary limitations introduced by food allergy will contribute to increased food insecurity in households with food allergic children when compared to food insecure households without food allergic children  EOS
